content,score,thumbsUpCount,cleaned_content,language,sentiment_label,word_count,review_date
"they fixed it, I was just really pissy yesterday cause I spent awhile arranging my playlists, but it's back!",5,1,fixed really pissy yesterday cause spent awhile arranging playlists back,en,neutral,10,
"Offline doesnt work, support doesnt help, just another corporate that doesnt giva a f",1,0,offline doesnt work support doesnt help another corporate doesnt giva f,en,negative,11,
"Super annoying ad experience! It feels like the app is designed solely to push users into buying their subscription. The constant barrage of ads is relentless and frustrating. They're shown back-to-back with no break, making it impossible to enjoy the app without feeling bombarded. Clearly, the focus is on monetization rather than user experience. Until they revamp their ad strategy, I'd advise others to steer clear.",1,5,super annoying ad experience feels like app designed solely push users buying subscription constant barrage ads relentless frustrating theyre shown backtoback break making impossible enjoy app without feeling bombarded clearly focus monetization rather user experience revamp ad strategy id advise others steer clear,en,positive,43,
super song for everything,5,0,super song everything,en,positive,3,
Why there's a thing that we need to make sure if you're not a robot? For what?! Do you think I'm no a human????,3,0,theres thing need make sure youre robot think im human,en,positive,10,
it's a great app by the way .... especially premium....I was asking if y'all can put the Spotify dj option on our own created playlists so that it can do the mixing for us...we just tap on it and it scans through my playlists and it just does its thing like it always does...,5,0,great app way especially premiumi asking yall put spotify dj option created playlists mixing uswe tap scans playlists thing like always,en,positive,21,
very nice app,5,0,nice app,en,positive,2,
I love spotify it's a chill app where you can listen to podcasts or your favourite music it's really good BUT ! What I think is in spitify if they could install a paint by number or something like that it would be better but it's really! good right now,5,0,love spotify chill app listen podcasts favourite music really good think spitify could install paint number something like would better really good right,en,positive,23,
"Ever since the update, I actually stayed with the free version. However, my playlist has over 500+ songs, but it still plays the same songs, and after those same songs, it goes to the recommended songs that go on forever! Honestly, I trusted you Spotify. Change it back to how it was. I don't care if the 30 minutes will be false if you change it back, I don't care if we get only 6 skips. CHANGE IT BACK.",2,0,ever since update actually stayed free version however playlist songs still plays songs songs goes recommended songs go forever honestly trusted spotify change back dont care minutes false change back dont care get skips change back,en,positive,36,
"too many ads, money hungry app",1,1,many ads money hungry app,en,neutral,5,
what an app it's too good,5,0,app good,en,positive,2,
One of the best app in music world.,5,0,one best app music world,en,positive,5,
Reduce adds🤮,3,0,reduce adds,en,neutral,2,
Great,5,0,great,en,positive,1,
too many ads and very costly,1,1,many ads costly,en,negative,3,
unusable after premium is over trash without premium it got soo many restrictions,2,1,unusable premium trash without premium got soo many restrictions,en,neutral,9,
it's a good music app to listen to.,5,0,good music app listen,en,positive,4,
You should add downloading features,5,0,add downloading features,en,neutral,3,
"so much potential, but it's not at his max",3,0,much potential max,en,neutral,3,
I like this app this is good app,5,0,like app good app,en,positive,4,
"i hope they add the alphabet lyrics version for mandarin songs, japanese or korean.",5,0,hope add alphabet lyrics version mandarin songs japanese korean,en,positive,9,
"at this point in time, the ""features"" are becoming a bit excessive and my algorithm is not as good as it used to be. it used to have good recommendations from less popular musicians...now? It's mostly mainstream stuff I don't want.",3,0,point time features becoming bit excessive algorithm good used used good recommendations less popular musiciansnow mostly mainstream stuff dont want,en,negative,20,
👌 perfect...seamles and smooth ride all the way,5,0,perfectseamles smooth ride way,en,neutral,4,
"just like a dream, every moment I enjoied in my life with Spotify, thanks Spotify as be a real friend.",5,0,like dream every moment enjoied life spotify thanks spotify real friend,en,positive,11,
the suffle is stupid,1,0,suffle stupid,en,negative,2,
"Upgraded firmware and app, still no lossless audio, and I'm paying for a premium account! You said you rolled out Lossless in Canada already.",1,1,upgraded firmware app still lossless audio im paying premium account said rolled lossless canada already,en,negative,15,
realy good I can listen when I'm play a game,4,0,realy good listen im play game,en,positive,6,
world's best music app,5,0,worlds best music app,en,positive,4,
i hate it a little bc it keeps disappearing the music,2,0,hate little bc keeps disappearing music,en,negative,6,
it's awesome,5,0,awesome,en,positive,1,
Good. You should develop the app running in the background even when app closes.,5,1,good develop app running background even app closes,en,positive,8,
"It keeps adding songs to my 9 HOUR PLAYLIST. Also, it keeps playing the same songs one after the other. And the 30 minutes ad free is a lie.",1,105,keeps adding songs hour playlist also keeps playing songs one minutes ad free lie,en,positive,14,
simplifying the best music contribution of the past in the future,5,0,simplifying best music contribution past future,en,positive,6,
I really really hate ads ..... It's non stop playing,1,2,really really hate ads non stop playing,en,negative,7,
good quality music that's good for me I'll give it a 5star,5,0,good quality music thats good ill give star,en,positive,8,
"Too many ads in premium despite paid sub... Dropping to one star cause despite being a loyal premium member for over a decade, the amount of Ads in podcasts is getting insane... Could understand a couple at the start or end of an episode but interrupting stories/conversations with loud-as ads constantly is so unfortunate. I'm finally going to start looking at alternative music/podcast services.. Pretty good for free music, but 4 paid sub & want to listen to podcasts occasionally, don't bother.",1,0,many ads premium despite paid sub dropping one star cause despite loyal premium member decade amount ads podcasts getting insane could understand couple start end episode interrupting storiesconversations loudas ads constantly unfortunate im finally going start looking alternative musicpodcast services pretty good free music paid sub want listen podcasts occasionally dont bother,en,positive,52,
very hard to use,1,0,hard use,en,negative,2,
"What changed? Nobody knows, the ""What's New"" info here in Google Play never changes. 47 updates in a row. Yes, I keep track.",1,3,changed nobody knows whats new info google play never changes updates row yes keep track,en,positive,15,
this is more than enjoyable app (no advertising when u listening it),5,0,enjoyable app advertising u listening,en,positive,5,
