content,score,thumbsUpCount,text,sentiment_label,word_count,review_date
"lagu bukan hanya alunan nada tapi bisa jadi ungkapan kebebasan, perdamaian dan ketenangan 🍉",1,2,lagu alunan nada ungkapan kebebasan perdamaian ketenangan,neutral,7,
iklan Mulu gak jelass apa apa harus premium kocakk,1,0,iklan mulu tidak jelass premium kocakk,negative,6,
Terima kasih banyak 🙏👍👍👍,5,0,terima kasih,positive,2,
"kok di aku mah gk bisa ada lirik ya sih tolong dong , tapi apk ya bagussss bgtttt 💓💓💓💓🎉🎉🎉🎉🎀🎀🎀🎀🙌🏻🙌🏻🙌🏻🙌🏻🙌🏻‼️‼️‼️‼️‼️‼️",4,0,mah gk lirik ya sih tolong apk ya bagussss bgtttt,positive,10,
sangat banyak lagu nya,5,0,lagu nya,positive,2,
"sngt bagusss sekali,apalagi kalo musik koleksinya bisa didengar secara offline terus,pasti tambah mantapp",5,0,sngt bagusss sekaliapalagi kalo musik koleksinya didengar offline teruspasti mantapp,positive,10,
very good i like it but why do i have to pay? i just want it free this is not what i expected i am disappointed.,3,0,very good i like it but why do i have to pay i just want it free this is not what i expected i am disappointed,negative,26,
"apk pemutar lagu paling bagus menurut ku,, tinggal klik di pencarian dan langsung putar,,bisa juga dipakai dilatar belakang JD bisa sambil buka apk yg lain,,ada iklan,tp masih wajar saja",5,1,apk pemutar lagu bagus ku tinggal klik pencarian langsung putarbisa dipakai dilatar jd buka apk yang lainada iklantp wajar,neutral,19,
Tnks spotify musik sudah memberi yang terbaik bagi para pendengar musik tanah air semoga kedepan nya makin bagus lagi.... Salam pendengar musik..,5,0,tnks spotify musik terbaik pendengar musik tanah air semoga kedepan nya bagus salam pendengar musik,positive,15,
sungguh bagus buat klian yg suka dengar musik di sportify,5,0,sungguh bagus klian yang suka dengar musik sportify,positive,8,
bagus,5,0,bagus,positive,1,
sangat bagus,5,0,bagus,positive,1,
iklan sia loba loba teuing atuh kehed,1,1,iklan sia loba loba teuing atuh kehed,negative,7,
sangat jelek ada iklan nya,1,1,jelek iklan nya,negative,3,
ok,5,0,ok,positive,1,
bagus,5,0,bagus,positive,1,
rhtrhy jrjgorrht rumah,5,0,rhtrhy jrjgorrht rumah,neutral,3,
gatau ini cuma aku yg pernah ngalamin ato yg lain pernah juga tapi ad kyk bug gitu yg bikin musiknya ganti ganti terus dan ga ada suaranya tapi overall semuanya udah bagus dan lagunya juga lengkap sekian dan mohon diperbaikan:v,4,0,gatau yang ngalamin ato yang ad kyk bug gitu yang bikin musiknya ganti ganti tidak suaranya overall udah bagus lagunya lengkap sekian mohon diperbaikanv,negative,24,
keren,5,0,keren,positive,1,
kikir ih kebanyakan iklan,4,0,kikir ih kebanyakan iklan,negative,4,
good,5,0,good,positive,1,
top,5,0,top,positive,1,
bagus kak,5,0,bagus kak,positive,2,
bagus,5,0,bagus,positive,1,
mantap,4,0,mantap,positive,1,
1 nya harus premium mls,4,0,nya premium mls,positive,3,
lumayan,4,0,lumayan,positive,1,
perfect apk,5,0,perfect apk,positive,2,
