content,score,thumbsUpCount,cleaned_content,sentiment_label
excellent and easy to navigate.,5,0,"['excellent', 'easy', 'navigate']",positive
This app is excellent and a good work I therefore recommend it to other users for best performance. keep it up .,5,0,"['app', 'excellent', 'good', 'work', 'therefore', 'recommend', 'users', 'best', 'performance', 'keep']",positive
Best app for listening song provides 1 st class service with premium also without premium,5,0,"['best', 'app', 'listening', 'song', 'provides', 'st', 'class', 'service', 'premium', 'also', 'without', 'premium']",positive
"Great app and love the fact that Spotify actually will take time and use some technical thing they have, a simple thing that can see what type of music I like no matter how diverse my playlists and then recommend sons/ artists I may also like. Something other music apps haven't quite managed to master. I also like the fact that as long as the low subscription is up to date, I can still listen to my fave tunes without internet connection that's great as my commute in mainly underground",5,18,"['great', 'app', 'love', 'fact', 'spotify', 'actually', 'take', 'time', 'use', 'technical', 'thing', 'simple', 'thing', 'see', 'type', 'music', 'like', 'matter', 'diverse', 'playlists', 'recommend', 'sons', 'artists', 'may', 'also', 'like', 'something', 'music', 'apps', 'havent', 'quite', 'managed', 'master', 'also', 'like', 'fact', 'long', 'low', 'subscription', 'date', 'still', 'listen', 'fave', 'tunes', 'without', 'internet', 'connection', 'thats', 'great', 'commute', 'mainly', 'underground']",positive
Best app in the music genre. I've tried everything from Pandora to Apple music Spotify is definitely the best. I find music platforms tend to either resonate with you or they don't and Spotify fits me like a glove. I'm always finding new music that I didn't know about plus they make suggestions/ notifications for new music that turn out to be great all the time. It has a user-friendly easy-to-navigate feel. The only thing I would change is making The equalizer easier to find.,5,9,"['best', 'app', 'music', 'genre', 'ive', 'tried', 'everything', 'pandora', 'apple', 'music', 'spotify', 'definitely', 'best', 'find', 'music', 'platforms', 'tend', 'either', 'resonate', 'dont', 'spotify', 'fits', 'like', 'glove', 'im', 'always', 'finding', 'new', 'music', 'didnt', 'know', 'plus', 'make', 'suggestions', 'notifications', 'new', 'music', 'turn', 'great', 'time', 'userfriendly', 'easytonavigate', 'feel', 'thing', 'would', 'change', 'making', 'equalizer', 'easier', 'find']",positive
love it,5,0,['love'],positive
"I love me some Spotify! It took a bit to get used to. I used another app that rhymed with Fandora for a long time. This has proven much better. I highly recommend it. 8/2025 Still works great. Affordable, really love that I can listen to it offline when my tunes are downloaded. I have about 525 downloaded to my ""Liked Songs""..",5,2,"['love', 'spotify', 'took', 'bit', 'get', 'used', 'used', 'another', 'app', 'rhymed', 'fandora', 'long', 'time', 'proven', 'much', 'better', 'highly', 'recommend', 'still', 'works', 'great', 'affordable', 'really', 'love', 'listen', 'offline', 'tunes', 'downloaded', 'downloaded', 'liked', 'songs']",positive
Top Number 1 best music app. I love it. Must install.,5,0,"['top', 'number', 'best', 'music', 'app', 'love', 'must', 'install']",positive
Best app. Anyone can make there own playlist. with music of there own choice. Also you can make them private if you choose too. I have only found one flaw which is you cannot rearrange the songs after you make the playlist if you want them in a different order unless you manual do it your self. in which I hope your playlist Isn't over1800 songs. Lol the 🎵has a shuffle and repeat. & a new shuffle which allows you to play music outside your playlist thats similar to your playlist and not add them,5,2,"['best', 'app', 'anyone', 'make', 'playlist', 'music', 'choice', 'also', 'make', 'private', 'choose', 'found', 'one', 'flaw', 'cannot', 'rearrange', 'songs', 'make', 'playlist', 'want', 'different', 'order', 'unless', 'manual', 'self', 'hope', 'playlist', 'isnt', 'songs', 'lol', 'shuffle', 'repeat', 'new', 'shuffle', 'allows', 'play', 'music', 'outside', 'playlist', 'thats', 'similar', 'playlist', 'add']",positive
👍👌👌👌👌 excellent,5,0,['excellent'],positive
