content,score,thumbsUpCount,cleaned_content,sentiment_label
bagus 👌🏻👍🏻,5,0,['bagus'],positive
bagus sekali 🥳🥳👍👏💋,5,0,"['bagus', 'sekali']",positive
lagi nya enak di dengar,5,0,"['lagi', 'nya', 'enak', 'di', 'dengar']",positive
bagus sih tapi itu dulu sekarang mah aneh ni aplikasi pantes orang banyak pake yang mod,3,0,"['bagus', 'sih', 'tapi', 'itu', 'dulu', 'sekarang', 'mah', 'aneh', 'ni', 'aplikasi', 'pantes', 'orang', 'banyak', 'pake', 'yang', 'mod']",negative
sanggat sempurna aplikasi nya,5,0,"['sanggat', 'sempurna', 'aplikasi', 'nya']",positive
Sudah bagus cuman setiap saya mau pencet lagu yg ingin saya putar malah di suruh ke halaman premium,3,1,"['sudah', 'bagus', 'cuman', 'setiap', 'saya', 'mau', 'pencet', 'lagu', 'yang', 'ingin', 'saya', 'putar', 'malah', 'di', 'suruh', 'ke', 'halaman', 'premium']",negative
kalo gak premium cmn bisa beberapa lagunyo antar 6 atau 7 lagu,3,0,"['kalo', 'tidak', 'premium', 'cmn', 'bisa', 'beberapa', 'lagunyo', 'antar', 'atau', 'lagu']",negative
musik nya bersih dan untuk karauke saya suka dengan aplikasi ini tidak ada iklan mantap yg membuatnya,4,0,"['musik', 'nya', 'bersih', 'dan', 'untuk', 'karauke', 'saya', 'suka', 'dengan', 'aplikasi', 'ini', 'tidak', 'ada', 'iklan', 'mantap', 'yang', 'membuatnya']",positive
sangat menyenangkan bisa dengerin musik,5,0,"['sangat', 'menyenangkan', 'bisa', 'dengerin', 'musik']",positive
okey,5,0,['okey'],negative
bagus aja sih,4,0,"['bagus', 'saja', 'sih']",positive
